GEO series	Title	Authors	Pubmed ID	Species	Cancer type	Cancer SubType	Cell line	GEO platform	Number of samples
GSE38167	Decreased expression of key tumour suppressor microRNAs is associated with lymph node metastases in triple negative breast cancer	Avery-Kiejda KA, Braye SG, Forbes JF, Scott RJ	24479446	Homo sapiens	breast cancer			GPL14943	67
GSE40807	MiRNA expression profiling in human medullary thyroid carcinoma	Lassalle S, Hofman P, Mari B, Henaoui I, Barbry P, Lebrigand K	27036030	Homo sapiens	thyroid cancer			GPL8227	80
GSE41012	Dynamic Transcriptome Analysis Reveal New Prognosis Biomarker in Colorectal Cancer (miRNA)	Li X		Homo sapiens	colorectal cancer			GPL7724 	35
GSE41032	miRNA profiles of brain glioma stem cells and normal neural stem cells	Liu S	24519663	Homo sapiens	brain cancer	glioma		GPL15516	6
GSE41655	MicroRNA expression profiling of colorectal normal mucosa, adenoma and adenocarcinoma tissues	Shi X, Zhang Y, Cao B, Lu N, Feng L, Di X, Han N, Luo C, Wang G, Cheng S, Zhang K		Homo sapiens	colorectal cancer			GPL11487	107
GSE43039	microRNA expression profiling of human nasopharyngeal Carcinoma tissues and Chronic Nasopharyngitis specimens	Li X, Ye Y	24606633	Homo sapiens	nasopharyngeal carcinoma			GPL16414 	40
GSE44899	miRNA expression profiling in hereditary breast tumors	Tanic M, Martinez-Delgado B, Benitez J, Marquez-Rodas I, Rodriguez-Pinilla MS, Fernandez V, Osorio A	24917463	Homo sapiens	breast cancer			GPL7723 	80
GSE45238	Identification of oral carcinoma miRNA involved in Wnt/b-catenin signaling	Shiah S, Hsiao J, Chang J	25351956	Homo sapiens	oral squamous cell carcinoma 			GPL8179	80
GSE45364	MicroRNA expression profiles distinguish liposarcoma subtypes and implicate miR-145 and miR-451 as tumor suppressors	Erik Wiemer	24375455	Homo sapiens	sarcoma	liposarcoma		GPL16851	115
GSE48088	Expression of miRNAs in breast tumor from very youn women (<36) and women above 65 years old	Peña-Chilet M, Martínez MT, Pérez-Fidalgo JA, Lluch A, Bosch A, Climent J, Burgues O, Ferrer J, Martinez-Delgado B, Tormo E, Eroles P, Peiro-Chova L, Ribas G	25047087	Homo sapiens	breast cancer			GPL14613	36
GSE48267	Differential Expression of miRNAs: Implication in Colon Cancer Racial Health Disparity	Li E, Williams J	24865442	Homo sapiens	colon cancer			GPL10850	122
GSE51853	Lung adenocarcinoma subtypes definable by lung development-related miRNA expression profiles in association with clinicopathologic features [miRNA analysis - miRNA Microarray, pre-commercial version 6.0]	Arima C, Kajino T, Tamada Y, Imoto S, Shimada Y, Nakatochi M, Suzuki M, Isomura H, Yatabe Y, Yamaguchi T, Yanagisawa K, Miyano S, Takahashi T	24903339	Homo sapiens	lung cancer			GPL7341	131
GSE53870	microRNA profile of human intrahepatic cholangiocarcinoma: intrahepatic cholangiocarcinoma vs. normal intrahepatic bile duct tissue	Zhang M, Li S, Wang H		Homo sapiens	liver cancer	cholangiocarcinoma		GPL18118 	72
GSE53992	The miRNAome of O. viverrini induced cholangiocarcinoma by microarray	Plieskatt JL, Feng Y, Peng J, Yonglitthipagon P, Rinaldi G, Easley S, Lee N, Laha T, Sripa B, Brindley PJ, Mulvenna JP, Bethony JM	25017828	Homo sapiens	liver cancer	cholangiocarcinoma		GPL18159	46
GSE56183	Integrated miRNA-mRNA analysis revealing the potential roles of miRNAs in chordomas	Long C, Jiang L, Wei F, Ma C, Zhou H, Yang S, Liu X, Liu Z		Homo sapiens	chordoma			GPL14613 	12
GSE56350	MicroRNA profiles discriminate among colon cancer metastasis	Drusco A, Croce CM	24921248	Homo sapiens	colorectal cancer			GPL16744	104
GSE57370	miRNA expression profiles in Wilms tumor subtypes	Ludwig N, Schmitt J	25670083	Homo sapiens	kidney cancer	Wilms tumor		GPL16770	66
GSE57555	mRNA/microRNA expression profiles of HCC or CCC patients' liver, together with those of non-tumor part tissues	Taguchi Y, Murakami Y	26538415	Homo sapiens	hepatocellular carcinoma			GPL18044	64
GSE57768	MicroRNA Expression in Cutaneous Squamous Cell Carcinoma	Toland A	25764000	Homo sapiens	skin cancer			GPL17537 	48
GSE60978	mRNA and miRNA expression profiles for fresh frozen periampullary adenocarcinomas (pancreatobiliary and intestinal type) and adjacent normal tissues. [miRNA]	Sandhu V, Kure EH	25579086	Homo sapiens	pancreatic cancer			GPL15159	89
GSE61438	Comparative microRNA profiling of sporadic and BRCA1 associated basal-like breast cancers	Yan M		Homo sapiens	breast cancer			GPL8179 	69
GSE62054	A two miRNA classifier differentiates follicular thyroid carcinomas from follicular thyroid adenomas	Stokowy T, Eszlinger M, Paschke R		Homo sapiens	thyroid cancer			GPL8179	25
GSE63805	Multi-platform Characterization of Stage I Lung Adenocarcinoma (miRNA profiling)	Robles AI, Harris CC	26134223	Homo sapiens	lung cancer	lung adenocarcinoma		GPL18410	62
GSE64318	MicroRNA expression profiling of the prostate biopsy samples from African American and European American prostate cancer patients	Wang B, Lee NH	26089375	Homo sapiens	prostate cancer			GPL8227	54
GSE65819	Whole genome characterisation of chemoresistant ovarian cancer [NanoString miRNA]	Christie EL, Etemadmoghadam D, Garsed DW, George J, Fereday S, Nones K, Cowin P, Alsop K, Bailey PJ, Kassahn KS, Newell F, Quinn MC, Kazakoff S, Quek K, Wilhelm-Benartzi C, Curry E, San H, Leong S, Hamilton A, Mileshkin L, Au-Yeung G, Kennedy C, Hung J, Chiew YE, Harnett P, Friedlander M,	26017449	Homo sapiens	ovarian cancer			GPL19765	121
GSE66274	Integrative genomics analysis of genes with biallelic loss and its relation to the expression of mRNA and micro-RNA in esophageal squamous cell carcinoma	Hu N, Taylor PR, Yang HH	26409826	Homo sapiens	esophageal cancer			GPL19823	60
GSE67354	miR-495 regulates multiple epigenetic modifiers in gastric cancer	Shin W, Bae H, Eun J, Shen Q, Kim H, Yang H, Ahn H, Kim H, Park W, Lee J, Nam S		Homo sapiens	gastric cancer			GPL19952	10
GSE69580	Differential miRNA expression profiles betweenHBV-related HCC tumor versus non-tumor liver tissue	Hung C, Yen C		Homo sapiens	hepatocellular carcinoma			GPL10850	10
GSE70574	microRNA profiles for lymph node metastasis in T1-stage colorectal cancers	Jung S, Chung Y		Homo sapiens	colorectal cancer			GPL15018	16
GSE73487	MicroRNA signatures of colonic adenomas according to histology	Tsikitis VL, Potter A, Mori M, Buckmeier JA, Preece CR, Harrington C, Bartley A, Battacharrya A, Hamilton S, Lance P, Thompson P		Homo sapiens	colon cancer			GPL8786	113
GSE74190	The miRNA expression profiles in three subtypes of lung carcinomas	Jin Y, Liu YL, Lu SH		Homo sapiens	lung cancer			GPL19622	136
GSE75630	Tonsil cancer compared with normal tonsil tissue	Tran N	26867589	Homo sapiens	tonsil cancer			GPL21198	46
GSE76260	miRNA expression profiling in prostate cancer and non-neoplastic tissues	Gandellini P, De Cecco L, Dugo M		Homo sapiens	prostate cancer			GPL8179	64
GSE77380	MicroRNA expression profiles of pulmonary and gastrointestinal carcinoid tumors	Yoshimoto T, Ishikawa Y		Homo sapiens	lung cancer, colorectal cancer, gastric cancer			GPL16770	108
GSE80038	The microRNAs with potential in predicting lung metastasis of triple negative breast cancer	Wang J, Xie X		Homo sapiens	breast cancer			GPL18044	20
GSE24709	Peripheral profiles from patients with cancerous and non cancerous lung diseases	Keller A, Leidinger P		Homo sapiens	lung cancer			GPL9040	71
GSE25609	Plasma microRNA profiling by microarray elucidates several candidate biomarkers for colorectal cancer screening	Giraldez MD, Lozano JJ, Ramirez G, Castells A, Gironella M		Homo sapiens	colon cancer	colonic adenomas		GPL8179	77
GSE27486	Whole blood microRNA expression profiles in human non-small cell lung adenocarcinoma	Patnaik SK	23029380	Homo sapiens	lung cancer	non-small cell lung adenocarcinoma		GPL11432	45
GSE31309	miRNA expression profiling in early stage breast cancer	Schrauder M	22242178	Homo sapiens	breast cancer	invasive ductal carcinoma		GPL14132	105
GSE31568	The human Whole miRNOme project version 1	Keller A, Leidinger P	21892151	Homo sapiens	pancreatic cancer, melanoma, prostate cancer, ovarian cancer, gastric cancer			GPL9040	453
GSE31801	Evaluation of microRNA expression profiles and their associations with risk alleles in lymphoblastoid cell lines of familial ovarian cancer	Shen J, Wang D, Gregory S, Medico L, Hu Q, Odunsi K, Lele SB, Ambrosone CB, Liu S, Zhao H	22235027	Homo sapiens	ovarian cancer	familial		GPL8179	121
GSE38419	miRNA profiles of Wilms tumor patients and controls	Keller A, Backes C	22871070	Homo sapiens	kidney cancer	Wilms tumor 		GPL9040	42
GSE39845	Tissue and blood microRNA array profiles of colorectal cancer patients	Yong FL, Law CW, Wang CW	23758639	Homo sapiens	colon cancer			GPL14613	26
GSE41321	Differential microRNA expression profiles in Retinoblastoma serum	Beta M, Venkatesan N, Khetan V, Vasudevan M, Subramanian K	23400111	Homo sapiens	retinoblastoma			GPL148767	6
GSE41922	Clinical Utility of Circulating MicroRNA Signatures for Breast Cancer Diagnosis (RT-PCR)	Chan M, Liaw CS, Ji SM, Tan HH et al.	23797906	Homo sapiens	breast cancer			GPL16224	54
GSE48137	Circulating miRNA in serum of Wilms tumor patients	Ludwig N, Schmitt J		Homo sapiens	kidney cancer	Wilms tumor 		GPL16770	102
GSE55993	What makes the blood cell-based miRNome disease specific? - miRNA analysis of leukocyte subsets in lung cancer patients and controls	Leidinger P, Backes C	25344866	Homo sapiens	lung cancer	lung adenocarcinoma		GPL16770	80
GSE59856	MicroRNA markers for the diagnosis of pancreatic and biliary tract cancers	Kojima M, Sudo H, Kawauchi J, Takizawa S, Kondou S, Nobumasa H, Ochiai A	25706130	Homo sapiens	pancreatic cancer, biliary tract cancer, colon cancer, gastric cancer, esophagus cancer, liver cancer			GPL18941	571
GSE65071	Plasma profiling of miRNAs in human specimens from osteosarcoma patients.	Yustein J, Allen-Rhoades W	25784290	Homo sapiens	sarcoma	osteosarcoma		GPL19631	35
GSE71043	Expression profile of plasma microRNAs in esophageal cancer	Liao J, Liu R, Shi Y, Yin L, Pu Y		Homo sapiens	esophageal cancer			GPL18042	6
GSE37406	Study of microRNA associated with metformin’s anti-tumor effect [pancreatic cancer]	Kato K, Masaki T		Homo sapiens	pancreatic cancer			GPL14903	24
GSE46188	Analyses of mIRNA transcript level following exposure to triptolide	Sarver A	23635652	Homo sapiens	pancreatic adenocarcinoma			GPL8179	42
GSE50224	MIcroRNA expression profiling of chemotherapy resistant esophageal adeno- and squamous cell carcinoma cell lines	Hussey DJ, Van der Hoek MB, Hummel R, Sie C, Watson DI, Wang T, Ansar A, Michael MZ, Haier J		Homo sapiens	esophageal cancer			GPL8786	36
GSE53850	miRNA expression profiling of Human Myeloma Cell Lines Pre- and Post- 5'azacytidine Treatment	Bi C, Chng WJ		Homo sapiens	lymphoma	myeloma		GPL16770	8
GSE62137	miRNA regulation by interleukin-4 (IL-4) in chronic lymphocytic leukemia (CLL)	Parrado A		Homo sapiens	chronic lymphocytic leukemia			GPL14767	44
GSE63159	microRNA expression signatures of imatinib-treated and non-treated gastrointestinal stromal tumors	Akçakaya P, Zeljic K, Åhlen J, Gangaev A, Ghaderi M, Caramuta S, Berglund E, Bränström R, Larsson C, Lui W		Homo sapiens	gastrointestinal stromal tumor			GPL10656	34
GSE67257	Study of microRNA associated with the anti-tumor effect of gemcitabine	Toyota Y, Masaki T	26252371	Homo sapiens	liver cancer	cholangiocellular carcinoma		GPL18941	20
GSE74562	In vitro microRNA screening in human pancreatic adenocarcinoma	Dhayat SA, Seggewiß J		Homo sapiens	pancreatic adenocarcinoma			GPL14613	8
TCGA_BRCA				Homo sapiens	breast cancer	breast invasive carcinoma		miRNA-seq	1163
TCGA_KIRP				Homo sapiens	kidney cancer	kidney renal papillary cell carcinoma		miRNA-seq	324
TCGA_KIRC				Homo sapiens	kidney cancer	kidney renal clear cell carcinoma		miRNA-seq	583
TCGA_KICH				Homo sapiens	kidney cancer	kidney chromophobe		miRNA-seq	91
TCGA_LUAD				Homo sapiens	lung cancer	lung adenocarcinoma		miRNA-seq	555
TCGA_LUSC				Homo sapiens	lung cancer	lung squamous cell carcinoma		miRNA-seq	518
TCGA_UCEC				Homo sapiens	uterus cancer	uterine corpus endometrial carcinoma		miRNA-seq	621
TCGA_COAD				Homo sapiens	colon cancer	colon adenocarcinoma		miRNA-seq	450
TCGA_READ				Homo sapiens	colorectal cancer	rectum adenocarcinoma		miRNA-seq	161
TCGA_HNSC				Homo sapiens	head and neck cancer	head and neck squamous cell carcinoma		miRNA-seq	564
TCGA_THCA				Homo sapiens	thyroid cancer	thyroid carcinoma		miRNA-seq	566
TCGA_PRAD				Homo sapiens	prostate cancer	prostate adenocarcinoma		miRNA-seq	532
TCGA_STAD				Homo sapiens	gastric cancer	stomach adenocarcinoma		miRNA-seq	475
TCGA_LIHC				Homo sapiens	liver cancer	liver hepatocellular carcinoma		miRNA-seq	420
TCGA_CESC				Homo sapiens	cervical cancer	cervical squamous cell carcinoma and endocervical adenocarcinoma		miRNA-seq	304
TCGA_ACC				Homo sapiens	adrenocortical tumor	adrenocortical carcinoma		miRNA-seq	80
TCGA_PAAD				Homo sapiens	pancreatic cancer	pancreatic adenocarcinoma		miRNA-seq	183
TCGA_ESCA				Homo sapiens	esophageal cancer	esophageal carcinoma		miRNA-seq	187
TCGA_CHOL				Homo sapiens	liver cancer	cholangiocarcinoma		miRNA-seq	45
TCGA_SKCM				Homo sapiens	skin cancer	skin cutaneous melanoma		miRNA-seq	449
TCGA_BLCA				Homo sapiens	bladder cancer	bladder urothelial carcinoma		miRNA-seq	426
TCGA_TGCT				Homo sapiens	testicular cancer	testicular germ cell tumors		miRNA-seq	149
