hsa-let-7f-2	kidney cancer	up-regulated	microarray	2007	Micro-RNA profiling in kidney and bladder cancers.
hsa-miR-122a	HCV infection	up-regulated	Northern blot, qRT-PCR etc	2005	Modulation of hepatitis C virus RNA abundance by a liver-specific MicroRNA.
hsa-miR-122a	hepatocellular carcinoma (HCC)	down-regulated	Northern blot, qRT-PCR etc	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-miR-122a	metabolic disease	down-regulated	Northern blot, qRT-PCR etc	2006	miR-122 regulation of lipid metabolism revealed by in vivo antisense targeting.
hsa-miR-122a	breast cancer	up-regulated	microarray	2005	MicroRNA gene expression deregulation in human breast cancer.
hsa-miR-122a	head and neck squamous cell carcinoma (HNSCC)	down-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-miR-122a	hepatocellular carcinoma (HCC)	up-regulated	Northern blot, qRT-PCR etc	2005	Real-time expression profiling of microRNA precursors in human cancer cell lines.
hsa-miR-122a	hepatocellular carcinoma (HCC)	down-regulated	Northern blot, qRT-PCR etc	2006	Downregulation of miR-122 in the rodent and human hepatocellular carcinomas.
hsa-miR-184	epithelial ovarian cancer (EOC)	down-regulated	microarray	2008	Genomic and epigenetic alterations deregulate microRNA expression in human epithelial ovarian cancer.
hsa-miR-184	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-184	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-184	prostate cancer	up-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-185	hepatocellular carcinoma (HCC)	up-regulated	Northern blot, qRT-PCR etc	2008	Identification of metastasis-related microRNAs in hepatocellular carcinoma.
hsa-miR-185	bladder cancer	up-regulated	microarray	2007	Micro-RNA profiling in kidney and bladder cancers.
hsa-miR-185	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-185	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNAs are aberrantly expressed in hypertrophic heart: do they play a role in cardiac hypertrophy?
hsa-miR-185	glioblastoma multiforme (GBM)	down-regulated	Northern blot, qRT-PCR etc	2008	miR-124 and miR-137 inhibit proliferation of glioblastoma multiforme cells and induce differentiation of brain tumor stem cells.
hsa-miR-185	kidney cancer	up-regulated	microarray	2007	Micro-RNA profiling in kidney and bladder cancers.
hsa-miR-185	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-130a	limb-girdle muscular dystrophies types 2A (LGMD2A)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-130a	miyoshi myopathy (MM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-130a	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-130a	polymyositis (PM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-130a-1	hepatocellular carcinoma (HCC)	up-regulated	microarray	2006	Downregulation of miR-122 in the rodent and human hepatocellular carcinomas.
hsa-miR-130b	acute lymphoblastic leukemia (ALL)	up-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-130b	acute myeloid leukemia (AML)	down-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-130b	pancreatic ductal adenocarcinoma (PDAC)	down-regulated	microarray	2007	MicroRNA expression alterations are linked to tumorigenesis and non-neoplastic processes in pancreatic ductal adenocarcinoma.
hsa-miR-130b-1	hepatocellular carcinoma (HCC)	up-regulated	microarray	2006	Downregulation of miR-122 in the rodent and human hepatocellular carcinomas.
hsa-miR-132	Huntington's disease (HD)	down-regulated	Northern blot, qRT-PCR etc	2007	A microRNA-based gene dysregulation pathway in Huntington's disease.
hsa-miR-132	autism spectrum disorder (ASD)	up-regulated	microarray	2008	Heterogeneous dysregulation of microRNAs across the autism spectrum.
hsa-miR-132	B-cell chronic lymphocytic leukemia	up-regulated	microarray	2004	MicroRNA profiling reveals distinct signatures in B cell chronic lymphocytic leukemias.
hsa-miR-139	uterine leiomyoma (ULM)	down-regulated	Northern blot, qRT-PCR etc	2008	Differential expression of microRNA species in human uterine leiomyoma versus normal myometrium.
hsa-miR-132	colorectal cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-miR-302c	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-302c*	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-302c*	prostate cancer	up-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-302d	acute myeloid leukemia (AML)	down-regulated	microarray	2008	Distinctive patterns of microRNA expression associated with karyotype in acute myeloid leukaemia.
hsa-miR-302d	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-302d	testicular germ cell tumor	up-regulated	microarray	2007	High-throughput microRNAome analysis in human germ cell tumours.
hsa-miR-30a	hepatocellular carcinoma (HCC)	down-regulated	Northern blot, qRT-PCR etc	2008	Identification of metastasis-related microRNAs in hepatocellular carcinoma.
hsa-miR-30a	uterine leiomyoma (ULM)	up-regulated	Northern blot, qRT-PCR etc	2007	A micro-RNA signature associated with race, tumor size, and target gene activity in human uterine leiomyomas.
hsa-miR-30a-3p	acute myeloid leukemia (AML)	down-regulated	microarray	2008	Distinctive patterns of microRNA expression associated with karyotype in acute myeloid leukaemia.
hsa-miR-30a-3p	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-30a-3p	colorectal cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-miR-30a-3p	colorectal cancer	down-regulated	Northern blot, qRT-PCR etc	2006	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
hsa-miR-30a-3p	dermatomyositis (DM)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-30a-3p	Duchenne muscular dystrophy (DMD)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-30a-3p	limb-girdle muscular dystrophies types 2A (LGMD2A)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-30a-3p	miyoshi myopathy (MM)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-30a-3p	nemaline myopathy (NM)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-30a-3p	polymyositis (PM)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-30a-5p	anaplastic thyroid carcinoma (ATC)	down-regulated	Northern blot, qRT-PCR etc	2007	Specific microRNAs are downregulated in human thyroid anaplastic carcinomas.
hsa-miR-30a-5p	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-30a-5p	Duchenne muscular dystrophy (DMD)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-30a-5p	lung cancer	down-regulated	microarray	2006	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
hsa-miR-200b	cancer	down-regulated	Northern blot, qRT-PCR etc	2008	The miR-200 family inhibits epithelial-mesenchymal transition and cancer cell migration by direct targeting of E-cadherin transcriptional repressors ZEB1 and ZEB2.
hsa-miR-30a-5p	colorectal cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-miR-30d	primary biliary cirrhosis (PBC)	down-regulated	microarray	2008	WITHDRAWN:MicroRNA profile in peripheral blood T cells of patients with primary biliary cirrhosis.
hsa-miR-30d	schizophrenia	down-regulated	microarray	2007	microRNA expression in the prefrontal cortex of individuals with schizophrenia and schizoaffective disorder.
hsa-miR-30e	hepatocellular carcinoma (HCC)	down-regulated	Northern blot, qRT-PCR etc	2008	Identification of metastasis-related microRNAs in hepatocellular carcinoma.
hsa-miR-30e	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-30e	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNAs are aberrantly expressed in hypertrophic heart: do they play a role in cardiac hypertrophy?
hsa-miR-30e	schizophrenia	down-regulated	Northern blot, qRT-PCR etc	2007	microRNA expression in the prefrontal cortex of individuals with schizophrenia and schizoaffective disorder.
hsa-miR-30e*	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-30e-5p	Duchenne muscular dystrophy (DMD)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-30e-5p	head and neck squamous cell carcinoma (HNSCC)	down-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-miR-30e-5p	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-30e-5p	ovarian cancer (OC)	up-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-30e-5p	psoriasis	up-regulated	microarray	2007	MicroRNAs: novel regulators involved in the pathogenesis of Psoriasis?
hsa-miR-31	cardiac hypertrophy	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-31	colorectal cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
hsa-miR-31	colorectal cancer	up-regulated	Northern blot, qRT-PCR etc	2007	Altered expression of miR-21, miR-31, miR-143 and miR-145 is related to clinicopathologic features of colorectal cancer.
hsa-miR-31	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-miR-31	hepatocellular carcinoma (HCC)	up-regulated	microarray	2008	MicroRNA-223 is commonly repressed in hepatocellular carcinoma and potentiates expression of Stathmin1.
hsa-miR-31	Oral Squamous Cell Carcinoma (OSCC)	up-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-31	psoriasis	up-regulated	microarray	2007	MicroRNAs: novel regulators involved in the pathogenesis of Psoriasis?
hsa-miR-32	PFV-1 infection	down-regulated	Northern blot, qRT-PCR etc	2005	A cellular microRNA mediates antiviral defense in human cells.
hsa-miR-32	colorectal cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-19a	anaplastic thyroid carcinoma (ATC)	up-regulated	Northern blot, qRT-PCR etc	2008	Oncogenic role of miR-17-92 cluster in anaplastic thyroid cancer cells.
hsa-miR-19a	Cowden Syndrome	up-regulated	Northern blot, qRT-PCR etc	2008	Differential expression of PTEN-targeting microRNAs miR-19a and miR-21 in Cowden syndrome.
hsa-miR-19a	lung cancer	up-regulated	Northern blot, qRT-PCR etc	2005	A polycistronic microRNA cluster, miR-17-92, is overexpressed in human lung cancers and enhances cell proliferation.
hsa-miR-19a	B-cell chronic lymphocytic leukemia	up-regulated	microarray	2004	MicroRNA profiling reveals distinct signatures in B cell chronic lymphocytic leukemias.
hsa-miR-19a	colorectal cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
hsa-miR-19a	head and neck squamous cell carcinoma (HNSCC)	down-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-miR-19a	malignant lymphoma	up-regulated	Northern blot, qRT-PCR etc	2005	A microRNA cluster as a target of genomic amplification in malignant lymphoma.
hsa-miR-19a	malignant melanoma	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-19b	malignant lymphoma	up-regulated	Northern blot, qRT-PCR etc	2005	A microRNA cluster as a target of genomic amplification in malignant lymphoma.
hsa-miR-19b	prostate cancer	down-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-19b-2	T-cell leukemia	up-regulated	Northern blot, qRT-PCR etc	2006	Oncogenic potential of the miR-106-363 cluster and its implication in human T-cell leukemia.
hsa-miR-200a	serous ovarian cancer	up-regulated	microarray	2008	MicroRNA expression profiles in serous ovarian carcinoma.
hsa-miR-200a	breast cancer	down-regulated	Northern blot, qRT-PCR etc	2008	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
hsa-miR-200a	cancer	down-regulated	Northern blot, qRT-PCR etc	2008	The miR-200 family inhibits epithelial-mesenchymal transition and cancer cell migration by direct targeting of E-cadherin transcriptional repressors ZEB1 and ZEB2.
hsa-miR-200a	epithelial ovarian cancer (EOC)	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA signatures in human ovarian cancer.
hsa-miR-200a	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-miR-200a	hepatocellular carcinoma (HCC)	down-regulated	Northern blot, qRT-PCR etc	2006	Comprehensive analysis of microRNA expression patterns in hepatocellular carcinoma and non-tumorous tissues.
hsa-miR-200a	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-200a	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression profiling in human ovarian cancer: miR-214 induces cell survival and cisplatin resistance by targeting PTEN.
hsa-miR-200a	psoriasis	up-regulated	microarray	2007	MicroRNAs: novel regulators involved in the pathogenesis of Psoriasis?
hsa-miR-200b	serous ovarian cancer	up-regulated	microarray	2008	MicroRNA expression profiles in serous ovarian carcinoma.
hsa-miR-200b	breast cancer	down-regulated	Northern blot, qRT-PCR etc	2008	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
hsa-miR-200b	cholangiocarcinoma	up-regulated	Northern blot, qRT-PCR etc	2006	Involvement of human micro-RNA in growth and response to chemotherapy in human cholangiocarcinoma cell lines.
hsa-miR-24	schizophrenia	down-regulated	Northern blot, qRT-PCR etc	2007	microRNA expression in the prefrontal cortex of individuals with schizophrenia and schizoaffective disorder.
hsa-miR-24-1	chronic lymphocytic leukemia (CLL)	up-regulated	Northern blot, qRT-PCR etc	2005	A MicroRNA signature associated with prognosis and progression in chronic lymphocytic leukemia.
hsa-miR-24-1	B-cell chronic lymphocytic leukemia	up-regulated	microarray	2004	MicroRNA profiling reveals distinct signatures in B cell chronic lymphocytic leukemias.
hsa-miR-24-1	colorectal cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-24-1	gastric cancer (stomach cancer)	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-24-1	glioblastoma	up-regulated	microarray	2005	Extensive modulation of a set of microRNAs in primary glioblastoma.
hsa-miR-24-1	pancreatic cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-24-1	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Expression profiling identifies microRNA signature in pancreatic cancer.
hsa-miR-24-1	papillary thyroid carcinoma (PTC)	up-regulated	microarray	2005	The role of microRNA genes in papillary thyroid carcinoma.
hsa-miR-24-1	pituitary adenoma	down-regulated	microarray	2007	Identification of differentially expressed microRNAs by microarray: a possible role for microRNA genes in pituitary adenomas.
hsa-miR-24-2	hepatocellular carcinoma (HCC)	up-regulated	Northern blot, qRT-PCR etc	2008	Upregulation of miR-23a approximately 27a approximately 24 decreases transforming growth factor-beta-induced tumor-suppressive activities in human hepatocellular carcinoma cells.
hsa-miR-24-2	colorectal cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-24-2	gastric cancer (stomach cancer)	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-24-2	glioblastoma	up-regulated	microarray	2005	Extensive modulation of a set of microRNAs in primary glioblastoma.
hsa-miR-24-2	lung cancer	up-regulated	microarray	2006	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
hsa-miR-24-2	pancreatic cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-24-2	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Expression profiling identifies microRNA signature in pancreatic cancer.
hsa-miR-24-2	papillary thyroid carcinoma (PTC)	up-regulated	microarray	2005	The role of microRNA genes in papillary thyroid carcinoma.
hsa-miR-25	colorectal cancer	down-regulated	Northern blot, qRT-PCR etc	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-miR-25	gastric cancer (stomach cancer)	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-25	glioblastoma	up-regulated	microarray	2005	Extensive modulation of a set of microRNAs in primary glioblastoma.
hsa-miR-25	pancreatic cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-25	prostate cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-26a	anaplastic thyroid carcinoma (ATC)	down-regulated	Northern blot, qRT-PCR etc	2007	Specific microRNAs are downregulated in human thyroid anaplastic carcinomas.
hsa-miR-26a	acute lymphoblastic leukemia (ALL)	down-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-204	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-206	breast cancer	down-regulated	Northern blot, qRT-PCR etc	2008	Endogenous human microRNAs that suppress breast cancer metastasis.
hsa-let-7a	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-136	pituitary adenoma	down-regulated	microarray	2007	Identification of differentially expressed microRNAs by microarray: a possible role for microRNA genes in pituitary adenomas.
hsa-miR-210	limb-girdle muscular dystrophies types 2A (LGMD2A)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-424	acute lymphoblastic leukemia (ALL)	down-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-9	Alzheimer's disease	down-regulated	microarray	2008	Loss of microRNA cluster miR-29a/b-1 in sporadic Alzheimer's disease correlates with increased BACE1/beta-secretase expression.
hsa-miR-122a	hepatocellular carcinoma (HCC)	down-regulated	microarray	2008	MicroRNA-223 is commonly repressed in hepatocellular carcinoma and potentiates expression of Stathmin1.
hsa-miR-140	autism spectrum disorder (ASD)	down-regulated	microarray	2008	Heterogeneous dysregulation of microRNAs across the autism spectrum.
hsa-miR-200b	epithelial ovarian cancer (EOC)	up-regulated	microarray	2007	MicroRNA signatures in human ovarian cancer.
hsa-miR-26a	acute myeloid leukemia (AML)	up-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-30a-5p	ovarian cancer (OC)	up-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-32	lung cancer	down-regulated	microarray	2006	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
hsa-miR-373	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-miR-154	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-125b	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-146b	Becker muscular dystrophy (BMD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-192-2	hepatocellular carcinoma (HCC)	down-regulated	microarray	2006	Downregulation of miR-122 in the rodent and human hepatocellular carcinomas.
hsa-miR-196b	pancreatic ductal adenocarcinoma (PDAC)	up-regulated	microarray	2007	MicroRNA expression alterations are linked to tumorigenesis and non-neoplastic processes in pancreatic ductal adenocarcinoma.
hsa-miR-382	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-324-5p	medulloblastoma	down-regulated	Northern blot, qRT-PCR etc	2008	Concerted microRNA control of Hedgehog signalling in cerebellar neuronal progenitor and tumour cells.

hsa-miR-23a	lupus nephritis	up-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-let-7b	neurodegeneration	up-regulated	Northern blot, qRT-PCR etc	2008	A miRNA signature of prion induced neurodegeneration.
hsa-miR-30d	chronic lymphocytic leukemia (CLL)	down-regulated	Northern blot, qRT-PCR etc	2007	Small RNAs analysis in CLL reveals a deregulation of miRNA expression and novel miRNA candidates of putative relevance in CLL pathogenesis.
hsa-miR-155	breast cancer	up-regulated	microarray	2008	MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.
hsa-miR-210	Acute Promyelocytic Leukemia (APL)	down-regulated	Northern blot, qRT-PCR etc	2008	Transcriptional repression of microRNA genes by PML-RARA increases expression of  key cancer proteins in acute promyelocytic leukemia.
hsa-miR-200b	hepatocellular carcinoma (HCC)	down-regulated	Northern blot, qRT-PCR etc	2008	Down-regulation of the microRNAs miR-34a, miR-127, and miR-200b in rat liver during hepatocarcinogenesis induced by a methyl-deficient diet.
hsa-miR-144	thalassemia	down-regulated	Northern blot, qRT-PCR etc	2008	Mir-144 selectively regulates embryonic {alpha}-hemoglobin synthesis during primitive erythropoiesis.
hsa-miR-21	Hepatocellular carcinoma (HCC)	up-regulated	Northern blot, qRT-PCR etc	2009	Low-level expression of microRNAs let-7d and miR-205 are prognostic markers of head and neck squamous cell carcinoma.
hsa-miR-142-3p	endometriosis	down-regulated	microarray	2009	MicroRNA-regulated pathways associated with endometriosis.
hsa-miR-19a	medulloblastoma 	up-regulated	northern blot, qRT-PCR etc	2009	The miR-17~92 cluster collaborates with the Sonic Hedgehog pathway in medulloblastoma.
hsa-miR-223	chronic lymphocytic leukemia (CLL)	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA-29c and microRNA-223 downregulation has in vivo significance in chronic lymphocytic leukemia and improves disease risk stratification.
hsa-miR-9*	Huntington's disease (HD)	down-regulated	northern blot, qRT-PCR etc	2009	The bifunctional microRNA miR-9/miR-9* regulates REST and CoREST and is downregulated in Huntington's disease.
hsa-miR-17-5p	diffuse large B-cell lymphoma (DLBCL)	up-regulated	northern blot, qRT-PCR etc	2009	Specific expression of miR-17-5p and miR-127 in testicular and central nervous system diffuse large B-cell lymphoma.
hsa-miR-222	prostate cancer	up-regulated	northern blot, qRT-PCR etc	2009	The role of microRNA-221 and microRNA-222 in androgen-independent prostate cancer
cell lines.
hsa-miR-19a	medulloblastoma	up-regulated	northern blot, qRT-PCR etc	2009	The miR-17/92 polycistron is up-regulated in sonic hedgehog-driven medulloblastomas and induced by N-myc in sonic hedgehog-treated cerebellar neural precursors.
hsa-miR-10b	glioma	up-regulated	northern blot, qRT-PCR etc	2009	MicroRNA-10b is overexpressed in malignant glioma and associated with tumor invasive factors, uPAR and RhoC.
hsa-miR-133a	bladder cancer	down-regulated	northern blot, qRT-PCR etc	2009	Identification of novel microRNA targets based on microRNA signatures in bladder cancer.
hsa-miR-152	hepatocellular carcinoma (HCC)	down-regulated	microarray	2009	Bead-based microarray analysis of microRNA expression in hepatocellular carcinoma: miR-338 is downregulated.
hsa-miR-199a	hepatocellular carcinoma (HCC)	down-regulated	microarray	2009	Bead-based microarray analysis of microRNA expression in hepatocellular carcinoma: miR-338 is downregulated.
hsa-miR-21	laryngeal carcinoma	up-regulated	northern blot, qRT-PCR etc	2009	Regulation of the cell cycle gene, BTG2, by miR-21 in human laryngeal carcinoma.
hsa-miR-21	renal clear cell carcinoma	up-regulated	microarray	2009	Microarray analysis of microRNA expression in renal clear cell carcinoma.
hsa-miR-21	non-small cell lung cancer (NSCLC)	up-regulated	northern blot, qRT-PCR etc	2009	Altered miRNA expression in sputum for diagnosis of non-small cell lung cancer.
hsa-miR-21	bladder cancer	up-regulated	microarray	2009	Genomic profiling of microRNAs in bladder cancer: miR-129 is associated with poor outcome and promotes cell death in vitro.
hsa-miR-30a-5p	prostate cancer	down-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-30a-5p	schizophrenia	down-regulated	microarray	2007	microRNA expression in the prefrontal cortex of individuals with schizophrenia and schizoaffective disorder.
hsa-miR-30b	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-30b	Duchenne muscular dystrophy (DMD)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-30b	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-miR-30b	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-30b	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-30b	prostate cancer	down-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-30b	schizophrenia	down-regulated	Northern blot, qRT-PCR etc	2007	microRNA expression in the prefrontal cortex of individuals with schizophrenia and schizoaffective disorder.
hsa-miR-30c	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-30c	Cerebellar neurodegeneration	down-regulated	Northern blot, qRT-PCR etc	2007	Cerebellar neurodegeneration in the absence of microRNAs.
hsa-miR-30c	colorectal cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
